,lien,Energie,Kilométrage,Puissance,Mise en circulation,Boite,Date Annonce,prix,Modèle,Marque,Etat du véhicule
0,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/a-vendre-renault-megane-3-coupe-20298,Essence,145000 Km,7 CV,02-2012,Manuelle,30 Janv. 2022,26000,Megane Coupe,Renault,Excellent
1,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/renault-r21-diesel-20296,Diesel,208000 Km,6 CV,08-1988,Manuelle,30 Janv. 2022,10000,R21 ,Renault,Bon
2,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/bizerte-tunsie-bizerte-sur-le-tel-22463004-un-golfe-5-tres-en-bonne-etat-le-tout-en-marche-20294,Diesel,100000 Km,5 CV,07-2015,Manuelle,30 Janv. 2022,24000,Golf 5,Volkswagen,En marche
3,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/sur-le-22919761-un-camion-a-vendre-tout-en-marche-tout-operationelle-20292,Diesel,100000 Km,10 CV,12-2009,Manuelle,30 Janv. 2022,10000,Transporter,Volkswagen,En marche
4,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/bmw-316-i-20291,Essence,104000 Km,7 CV,06-2015,Manuelle,30 Janv. 2022,68000,SERIE 3 ,BMW,D'origine
5,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/vendre-ds5-sport-chic-16-thp-160-bva-20290,Essence,180000 Km,9 CV,12-2014,Automatique,30 Janv. 2022,48000,DS5,Citroen,Très bon
6,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/sur-tel-22463004-un-golf-5-20289,Essence,100000 Km,5 CV,06-2015,Manuelle,30 Janv. 2022,10000,Golf 5,Volkswagen,Très bon
7,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/peugeot-206-sedan-20288,Essence,141000 Km,6 CV,07-2007,Manuelle,30 Janv. 2022,15000,206 sedan,Peugeot,Bon
8,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/land-rover-evoque-20287,Diesel,96000 Km,8 CV,02-2016,Manuelle,22 Janv. 2022,130000,Evoque,Land-Rover,Excellent
9,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/nouvelle-ibiza-20285,Essence,52000 Km,4 CV,07-2019,Manuelle,22 Janv. 2022,42,Ibiza,Seat,D'origine
10,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/ford-ka-20286,Essence,55 Km,4 CV,01-2016,Manuelle,22 Janv. 2022,30,KA,Ford,Excellent
11,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/kia-rio-20284,Essence,100 Km,5 CV,07-2016,Manuelle,22 Janv. 2022,1,RIO,Kia,Excellent
12,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/a-vendre-citroen-c312-l-puretech-shine-20279,Essence,27000 Km,4 CV,06-2020,Manuelle,18 Janv. 2022,52,C3,Citroen,Neuf
13,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/c3-puretech-3eme-generation-20281,Essence,80000 Km,4 CV,09-2017,Manuelle,18 Janv. 2022,45000,C3,Citroen,D'origine
14,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/golf-7-20282,Essence,153000 Km,5 CV,01-2014,Manuelle,18 Janv. 2022,53000,Golf 7,Volkswagen,Très bon
15,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/citroen-c3-1ere-main-20283,Essence,103000 Km,4 CV,02-2017,Manuelle,18 Janv. 2022,36800,C3,Citroen,D'origine
16,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/picanto-4cv-3cylindre-20266,Essence,45000 Km,4 CV,01-2019,Manuelle,15 Janv. 2022,36500,Picanto,Kia,Excellent
17,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/a-vendre-citroen-c-elysee-20267,Essence,132000 Km,5 CV,07-2014,Manuelle,15 Janv. 2022,24000,C Elysée,Citroen,Très bon
18,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/astra-gtc-20269,Diesel,134000 Km,5 CV,06-2008,Manuelle,15 Janv. 2022,11111,Astra,Opel,Très bon
19,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/x5-importe-20270,Essence,106000 Km,19 CV,06-2009,Automatique,15 Janv. 2022,85000,X5,BMW,Très bon
20,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/passat-cc-20271,Essence,270000 Km,9 CV,09-2009,Automatique,15 Janv. 2022,45000,Passat Cc,Volkswagen,Très bon
21,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/vente-mercedes-pick-up-class-x-350d-v6-turbo-20273,Diesel,17 Km,10 CV,11-2018,Automatique,15 Janv. 2022,170000, Sprinter,Mercedes,Excellent
22,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/mg-zs-20272,Essence,80000 Km,7 CV,11-2018,Manuelle,15 Janv. 2022,62,ZS,MG Motors,Excellent
23,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/chevrolet-spark-20274,Essence,4 Km,5 CV,07-2013,Manuelle,15 Janv. 2022,23000,Spark,Chevrolet,Excellent
24,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/mini-cooper-20275,Essence,200000 Km,7 CV,03-2009,Automatique,15 Janv. 2022,31000,Cooper,Mini,Très bon
25,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/polo-sedan-20276,Essence,57000 Km,5 CV,12-2015,Manuelle,15 Janv. 2022,37500,Polo,Volkswagen,Excellent
26,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/fiat-palio-2-en-tres-bonne-etat-a-vendre-20277,Essence,166000 Km,4 CV,11-2004,Manuelle,15 Janv. 2022,13000,Palio,Fiat,Excellent
27,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/a-vendre-peugeot-308-20278,Essence,167000 Km,6 CV,10-2009,Manuelle,15 Janv. 2022,22000,308,Peugeot,Bon
28,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/bmw-serie-3-f30-316i-sport-20256,Essence,170000 Km,7 CV,07-2013,Automatique,2 Janv. 2022,68000,SERIE 3 ,BMW,Très bon
29,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/mini-one-20258,Essence,117000 Km,4 CV,10-2011,Manuelle,2 Janv. 2022,42000,One,Mini,Très bon
30,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/vendre-ma-mercedes-classe-b-150-20259,Essence,190000 Km,6 CV,06-2006,Manuelle,2 Janv. 2022,29500,Classe B,Mercedes,Excellent
31,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/kia-rio-20260,Essence,100 Km,5 CV,07-2016,Manuelle,2 Janv. 2022,1,RIO,Kia,D'origine
32,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/jeep-renegade-2016-limited-20261,Essence,100000 Km,8 CV,12-2016,Automatique,2 Janv. 2022,50000,Compass,Jeep,Très bon
33,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/voiture-20262,Essence,59000 Km,5 CV,05-2017,Manuelle,2 Janv. 2022,44000,RIO,Kia,Très bon
34,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/passat-cc-20263,Essence,270000 Km,9 CV,09-2009,Automatique,2 Janv. 2022,48000,Passat Cc,Volkswagen,Très bon
35,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/opel-astra-g-20245,Essence,220000 Km,5 CV,07-2004,Manuelle,23 Déc. 2021,18900,Astra,Opel,Très bon
36,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/206-sedan-20247,Essence,209000 Km,6 CV,03-2010,Manuelle,23 Déc. 2021,19000,206 sedan,Peugeot,Très bon
37,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/nissan-murano-2007-35-l-234-cv-110-000km-20248,Essence,110000 Km,17 CV,2007,Automatique,23 Déc. 2021,28000,Murano,Nissan,Bon
38,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/kia-sorento-20254,Diesel,180000 Km,12 CV,01-2014,Automatique,23 Déc. 2021,68000,Strento,Kia,Bon
39,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/peugeot-208-12-20255,Essence,86000 Km,5 CV,07-2015,Manuelle,23 Déc. 2021,32500,208,Peugeot,Très bon
40,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/a-vendre-polo-5-tdi-20237,Diesel,1 Km,5 CV,12-2001,Manuelle,18 Déc. 2021,1,Polo 5,Volkswagen,Très bon
41,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/av-ou-echange-mazda-cx9-20238,Essence,290 Km,20 CV,11-2011,Automatique,18 Déc. 2021,111111,CX-9,Mazda,Très bon
42,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/golf-6-16-essence-20240,Essence,153600 Km,7 CV,11-2009,Manuelle,18 Déc. 2021,30000,Golf 6,Volkswagen,D'origine
43,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/a-vendre-renault-fluence-20241,Diesel,215000 Km,6 CV,11-2010,Manuelle,18 Déc. 2021,26500,Fluence,Renault,Bon
44,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/fiat-punto-20242,Essence,180 Km,5 CV,12-2007,Manuelle,18 Déc. 2021,17000,Punto,Fiat,Bon
45,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/vente-nissan-juke-20244,Essence,96000 Km,6 CV,11-2015,Manuelle,18 Déc. 2021,53000,Juke,Nissan,Très bon
46,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/mercedes-glc-250-4-matic-kit-amg-20226,Essence,163000 Km,12 CV,11-2017,Automatique,12 Déc. 2021,200000,Classe G,Mercedes,Excellent
47,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/vente-c-elysee-citroen-20229,Essence,335000 Km,5 CV,12-2017,Manuelle,12 Déc. 2021,25000,C Elysée,Citroen,Très bon
48,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/seat-leon-style-plus-modele-2018-full-options-20230,Essence,82000 Km,6 CV,11-2017,Manuelle,12 Déc. 2021,58500,Leon,Seat,D'origine
49,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/a-vendre-20231,Essence,200000 Km,5 CV,04-2016,Manuelle,12 Déc. 2021,27800000,Grand i10,Hyundai,Très bon
50,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/-20232,Essence,147000 Km,7 CV,12-2014,Manuelle,12 Déc. 2021,36800,Fluence,Renault,Excellent
51,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/ford-fusion-125-20233,Essence,188000 Km,5 CV,07-2009,Manuelle,12 Déc. 2021,19,Fusion,Ford,Très bon
52,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/une-excellente-occasion-20234,Essence,108000 Km,6 CV,11-2012,Manuelle,12 Déc. 2021,31000,Astra,Opel,D'origine
53,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/308-20235,Essence,90000 Km,6 CV,06-2018,Manuelle,12 Déc. 2021,45000,308,Peugeot,Excellent
54,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/audi-a3-berline-sline-180-18-tfsi-20236,Essence,130000 Km,10 CV,10-2014,Manuelle,12 Déc. 2021,52000,A3,Audi,Excellent
55,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/opel-corsa-20187,Essence,260000 Km,4 CV,01-1998,Manuelle,29 Nov. 2021,12000,Corsa,Opel,Très bon
56,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/opel-astra-20189,Essence,83000 Km,5 CV,11-2003,Manuelle,29 Nov. 2021,25000,Astra,Opel,Très bon
57,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/land-rover-range-rover-sport-supercharged-2016-20188,Essence,55000 Km,24 CV,08-2016,Automatique,29 Nov. 2021,380000,Range Sport,Land-Rover,Excellent
58,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/fiat-punto-1-20190,Essence,300 Km,4 CV,12-1999,Manuelle,29 Nov. 2021,13000,Punto,Fiat,Très bon
59,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/opel-corsa-e-coupe-20192,Essence,73000 Km,5 CV,2016,Manuelle,29 Nov. 2021,26500,Corsa,Opel,Très bon
60,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/dacia-logan-2012-20193,Diesel,300000 Km,6 CV,04-2012,Manuelle,29 Nov. 2021,14500,Logan,Dacia,D'origine
61,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/golf-3-20194,Essence,336000 Km,6 CV,01-1998,Manuelle,29 Nov. 2021,14000,Golf 3,Volkswagen,Très bon
62,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/toyota-aygo-20196,Essence,47000 Km,4 CV,06-2017,Manuelle,29 Nov. 2021,30500,Aygo,Toyota,Excellent
63,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/berlingo-a-vendre-20198,Diesel,170000 Km,7 CV,08-2003,Manuelle,29 Nov. 2021,16500,Berlingo,Citroen,Excellent
64,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/nissan-juke-tekna-20199,Diesel,250000 Km,6 CV,09-2012,Manuelle,29 Nov. 2021,36000,Juke,Nissan,Excellent
65,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/opel-astra-f-diesel-20201,Diesel,452000 Km,7 CV,08-1997,Manuelle,29 Nov. 2021,13000,Astra,Opel,Très bon
66,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/fiat-grande-punto-20202,Essence,99000 Km,4 CV,2016,Manuelle,29 Nov. 2021,27000,Grande Punto ,Fiat,Excellent
67,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/peugeot-301-20203,Essence,96000 Km,5 CV,11-2013,Manuelle,29 Nov. 2021,20500,301,Peugeot,Très bon
68,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/volkswagen-golf-7-smartline-12-tsi-5cv-20204,Essence,72000 Km,5 CV,02-2017,Manuelle,29 Nov. 2021,68900,Golf 7,Volkswagen,Excellent
69,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/a-vendre-20206,Essence,46 Km,4 CV,05-2013,Manuelle,29 Nov. 2021,45000,2008,Peugeot,Excellent
70,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/hyundai-grand-i10-sedan-20207,Essence,136 Km,5 CV,10-2015,Manuelle,29 Nov. 2021,30000,Grand i10,Hyundai,Excellent
71,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/chery-qq-en-tres-bon-etat-20208,Essence,88000 Km,4 CV,01-2017,Manuelle,29 Nov. 2021,20100,XLR ,Cadillac,D'origine
72,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/kia-coupe-20210,Essence,250000 Km,6 CV,12-2008,Manuelle,29 Nov. 2021,20,Cerato,Kia,Excellent
73,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/-20209,Diesel,10400 Km,6 CV,01-2021,Manuelle,29 Nov. 2021,38500,Dokker ,Dacia,Neuf
74,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/tiguan-20-tdi-4-motion-44-20211,Diesel,197000 Km,9 CV,07-2011,Automatique,29 Nov. 2021,70000,Tiguan,Volkswagen,Très bon
75,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/passat-b7-20212,Diesel,240000 Km,6 CV,01-2009,Manuelle,29 Nov. 2021,26500,Passat,Volkswagen,Très bon
76,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/bmw-serie-5-20213,Essence,75000 Km,10 CV,01-2018,Automatique,29 Nov. 2021,185000,SERIE 5 ,BMW,D'origine
77,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/kia-sportage-eco-20214,Essence,150000 Km,8 CV,01-2013,Manuelle,29 Nov. 2021,59000,Sportages,Kia,Très bon
78,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/golf-7-cup-20215,Essence,96000 Km,5 CV,02-2015,Manuelle,29 Nov. 2021,61500,Golf 7,Volkswagen,Excellent
79,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/jetta-16l-trend-20216,Essence,263000 Km,7 CV,04-2014,Manuelle,29 Nov. 2021,32000,Jetta,Volkswagen,Excellent
80,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/voiture-citroen-c3-20217,Essence,70000 Km,4 CV,05-2019,Manuelle,29 Nov. 2021,36000,C3,Citroen,Très bon
81,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/polo-8-propre-20218,Essence,40000 Km,4 CV,01-2020,Manuelle,29 Nov. 2021,43000,Polo,Volkswagen,Très bon
82,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/mercedes-e180-20219,Essence,60000 Km,9 CV,04-2018,Automatique,29 Nov. 2021,160000,Classe E,Mercedes,Bon
83,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/-20220,Diesel,108000 Km,5 CV,09-2016,Manuelle,29 Nov. 2021,27500,Nemo,Citroen,D'origine
84,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/fiat-grande-punto-20222,Essence,186000 Km,5 CV,09-2009,Manuelle,29 Nov. 2021,18700,Punto,Fiat,Bon
85,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/voiture-1er-main-20223,Essence,1001 Km,7 CV,2012,Automatique,29 Nov. 2021,34000,Jetta,Volkswagen,Excellent
86,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/clio-campus-diesel-3-portes-fin-2008-20224,Diesel,260000 Km,6 CV,09-2008,Manuelle,29 Nov. 2021,15500,Clio Campus,Renault,Bon
87,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/voiture-taxi-20225,Diesel,167000 Km,5 CV,05-2014,Manuelle,29 Nov. 2021,35000,Logan,Dacia,Excellent
88,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/skoda-octavia-2l-20168,Diesel,33000 Km,7 CV,10-2020,Manuelle,2 Nov. 2021,75000,Octavia,Skoda,Neuf
89,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/suzuki-celerio-emballe-20169,Essence,1000 Km,4 CV,09-2021,Manuelle,2 Nov. 2021,30000,Alto,Suzuki,Neuf
90,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/cause-de-depart-vente-suzuki-s-presso-20170,Essence,4000 Km,4 CV,03-2021,Manuelle,2 Nov. 2021,31000,Swift  ,Suzuki,Excellent
91,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/208-modele-2014-20171,Essence,140 Km,5 CV,03-2014,Manuelle,2 Nov. 2021,1,208,Peugeot,Excellent
92,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/fiat-evo-bleu-20173,Essence,147000 Km,4 CV,06-2011,Manuelle,2 Nov. 2021,24500,Punto Evo,Fiat,Très bon
93,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/tres-bonne-affaire-20172,Essence,78500 Km,5 CV,09-2012,Manuelle,2 Nov. 2021,29000,Clio 3,Renault,Excellent
94,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/honda-brio-amaze-20174,Essence,102000 Km,5 CV,05-2017,Manuelle,2 Nov. 2021,27000,JAZZ,Honda,D'origine
95,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/nissan-qashqai-20176,Diesel,207000 Km,6 CV,04-2009,Manuelle,2 Nov. 2021,39000,Qashqai,Nissan,Excellent
96,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/citroen-c5-20178,Diesel,97210 Km,6 CV,11-2009,Manuelle,2 Nov. 2021,36000,C5,Citroen,Neuf
97,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/suzuki-swift-20180,Essence,25000 Km,5 CV,05-2020,Manuelle,2 Nov. 2021,43000,Swift  ,Suzuki,Excellent
98,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/a-vendre-20181,Essence,209000 Km,6 CV,11-2010,Manuelle,2 Nov. 2021,34800,Astra,Opel,Bon
99,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/a-vendre-audi-a3-s-ligne-tdi-20183,Diesel,197000 Km,5 CV,2011,Manuelle,2 Nov. 2021,42750,A3 Sportback,Audi,Neuf
100,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/dame-vend-suzuki-baleno-1ere-main-20185,Essence,25000 Km,5 CV,07-2019,Manuelle,2 Nov. 2021,48000,Baleno,Suzuki,Excellent
101,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/nissan-qashqai-tekna-boite-auto-20186,Essence,85000 Km,6 CV,12-2016,Automatique,2 Nov. 2021,77000,Qashqai,Nissan,Excellent
102,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2016-mazda-3-1ere-main-19852,Essence,150000 Km,6 CV,01-2016,Manuelle,19 Oct. 2021,41500,Mazda3,Mazda,Excellent
103,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2017-baic-kenbo-s2-20021,Essence,96000 Km,7 CV,05-2017,Manuelle,19 Oct. 2021,36900,KENBO S2,BAIC YX,Excellent
104,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/vente-20159,Essence,165000 Km,5 CV,10-2009,Manuelle,17 Oct. 2021,30000,One,Mini,Bon
105,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/nissan-murano-20162,Essence,184 Km,17 CV,07-2010,Automatique,17 Oct. 2021,60,Murano,Nissan,Très bon
106,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/ford-fusion-20163,Essence,280000 Km,9 CV,04-2016,Manuelle,17 Oct. 2021,52000,Fusion,Ford,Excellent
107,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/chevrolet-cruze-a-vendre-20164,Essence,150 Km,7 CV,07-2012,Manuelle,17 Oct. 2021,25000,Cruze,Chevrolet,En panne
108,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/kia-sportage-20165,Diesel,300000 Km,11 CV,2013,Automatique,17 Oct. 2021,62000,Sportages,Kia,Très bon
109,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/belle-audi-a3-s-ligne-16-tdi-20166,Diesel,197000 Km,5 CV,05-2011,Manuelle,17 Oct. 2021,45000,A3 Sportback,Audi,D'origine
110,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2015-land-rover-discovery-sport-bva-toit-pano-20051,Diesel,98000 Km,8 CV,10-2015,Automatique,15 Oct. 2021,145000,Discovery,Land-Rover,En panne
111,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2013-bmw-316i-f30-bvm6-20119,Essence,216000 Km,7 CV,09-2013,Manuelle,14 Oct. 2021,59900,SERIE 3 ,BMW,Excellent
112,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/belle-peugeot-308-20136,Essence,142000 Km,9 CV,03-2010,Automatique,13 Oct. 2021,29000,308,Peugeot,Très bon
113,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/megane-3-a-vendre-20137,Essence,180000 Km,7 CV,06-2012,Manuelle,13 Oct. 2021,29000,Megane 3,Renault,Excellent
114,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/a-vendre-gol7-smartline-20139,Essence,114000 Km,5 CV,07-2016,Manuelle,13 Oct. 2021,55000,Golf 7,Volkswagen,Excellent
115,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/volkswagen-bora-20140,Diesel,293000 Km,6 CV,07-1999,Manuelle,13 Oct. 2021,19000,Bora,Volkswagen,Excellent
116,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/-20141,Essence,157000 Km,4 CV,09-2010,Manuelle,13 Oct. 2021,23500,Punto Evo,Fiat,Très bon
117,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/citroen-c4-en-excellent-etat-20142,Essence,104000 Km,6 CV,10-2013,Manuelle,13 Oct. 2021,33000,C4,Citroen,Excellent
118,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/av-grand-i10-pleine-doptions-edition-limitee-20143,Essence,96000 Km,5 CV,04-2017,Manuelle,13 Oct. 2021,29900,110,Hyundai,Très bon
119,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/caddy-20144,Diesel,103000 Km,6 CV,09-2018,Manuelle,13 Oct. 2021,46000,Caddy,Volkswagen,Neuf
120,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/vente-20147,Essence,151000 Km,5 CV,04-2014,Manuelle,13 Oct. 2021,35000,RIO,Kia,Excellent
121,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/golf-confort-1-2-tsi-dsg-boite-auto-20149,Essence,145000 Km,5 CV,01-2016,Automatique,13 Oct. 2021,60000,Golf 7,Volkswagen,Excellent
122,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/golf-7-a-vendre-20151,Essence,131000 Km,5 CV,06-2014,Manuelle,13 Oct. 2021,45000,Golf 7,Volkswagen,Bon
123,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/fiat-grande-punto-city-20153,Essence,1 Km,5 CV,12-2006,Manuelle,13 Oct. 2021,1,Grande Punto ,Fiat,D'origine
124,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/vente-dune-voiture-c-elysee-20155,Essence,88597 Km,5 CV,04-2016,Manuelle,13 Oct. 2021,27000,C Elysée,Citroen,Neuf
125,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/r21-06-ch-diesel-20156,Diesel,12 Km,6 CV,06-1986,Manuelle,13 Oct. 2021,7700,R21 ,Renault,En marche
126,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/bonne-affaire-20157,Essence,95000 Km,5 CV,05-2016,Manuelle,13 Oct. 2021,37500,208,Peugeot,D'origine
127,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/suzuki-celerio-neuf-20158,Essence,900 Km,4 CV,09-2021,Manuelle,13 Oct. 2021,30000,Alto,Suzuki,Neuf
128,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2012-bmw-116i-f20-bva-toit-ouvrant-19399,Essence,138000 Km,7 CV,02-2012,Automatique,11 Oct. 2021,61900,SERIE 1 ,BMW,Excellent
129,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2016-ford-focus-ecoboost-20126,Essence,122000 Km,6 CV,01-2016,Manuelle,10 Oct. 2021,44000,Focus,Ford,Excellent
130,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2014-mercedes-e200-coupe-bva-kit-amg-toit-pano-19590,Essence,68000 Km,11 CV,06-2014,Automatique,7 Oct. 2021,125000,Classe E,Mercedes,Excellent
131,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2020-kia-rio-gt-line-1ere-main-20125,Essence,10000 Km,5 CV,11-2020,Manuelle,7 Oct. 2021,59000,RIO,Kia,Excellent
132,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2020-fiat-panda-cross-1ere-main-19000,Essence,21000 Km,4 CV,08-2020,Manuelle,7 Oct. 2021,38900,Panda,Fiat,Excellent
133,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/2015-bmw-316i-f30-luxury-bva-toit-ouvrant-19830,Essence,121000 Km,7 CV,03-2015,Automatique,30 Sept. 2021,79000,SERIE 3 ,BMW,Excellent
134,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/-20130,Essence,139000 Km,4 CV,09-2013,Manuelle,27 Sept. 2021,27000,Picanto,Kia,Très bon
135,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/toyota-yaris-high-grade-20132,Essence,37500 Km,4 CV,09-2018,Manuelle,27 Sept. 2021,42000,Yaris,Toyota,D'origine
136,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/mercedes-b-150-20134,Essence,189000 Km,6 CV,06-2006,Manuelle,27 Sept. 2021,28000,Classe B,Mercedes,Très bon
137,https://www.auto-plus.tn/voitures-d-occasion/a_vendre/clio-4-20133,Essence,100000 Km,5 CV,04-2013,Manuelle,27 Sept. 2021,37000,Clio 4,Renault,Très bon
